(title "Axial Velocity")
(labels "Position" "Axial Velocity")

((xy/key/label "xd-10")
0	16.5178
0.000601705	16.5176
0.00118987	16.517
0.0017648	16.516
0.0023268	16.5147
0.00287615	16.5129
0.00341315	16.5107
0.00393806	16.5081
0.00445115	16.5051
0.00495271	16.5015
0.00544298	16.4975
0.00592222	16.4929
0.00639067	16.4878
0.00684859	16.482
0.0072962	16.4756
0.00773375	16.4685
0.00816144	16.4608
0.00857952	16.4522
0.00898819	16.4429
0.00938766	16.4328
0.00977814	16.4218
0.0101598	16.4099
0.010533	16.397
0.0108977	16.3831
0.0112542	16.3681
0.0116027	16.3519
0.0119433	16.3345
0.0122763	16.3158
0.0126018	16.2957
0.01292	16.274
0.013231	16.2507
0.013535	16.2258
0.0138321	16.1991
0.0141226	16.1707
0.0144066	16.1405
0.0146841	16.1086
0.0149555	16.075
0.0152207	16.0396
0.0154799	16.0024
0.0157333	15.9637
0.015981	15.9233
0.0162232	15.8813
0.0164599	15.8378
0.0166912	15.7928
0.0169174	15.7463
0.0171384	15.6985
0.0173545	15.6493
0.0175658	15.5987
0.0177722	15.5468
0.0179741	15.4935
0.0181714	15.4385
0.0183642	15.3811
0.0185527	15.3208
0.018737	15.2573
0.0189171	15.191
0.0190932	15.1224
0.0192653	15.0519
0.0194336	14.9801
0.019598	14.9072
0.0200695	14.6834
0.0202197	14.6073
0.0203664	14.5306
0.0205099	14.4531
0.0206501	14.3751
0.0207872	14.2964
0.0209212	14.2172
0.0210522	14.1373
0.0211802	14.0569
0.0213054	13.9758
0.0214277	13.8941
0.0215473	13.8118
0.0216642	13.7289
0.0217785	13.6453
0.0218902	13.561
0.0219993	13.476
0.0221061	13.3904
0.0222104	13.3042
0.0223124	13.2172
0.0224121	13.1294
0.0225095	13.0404
0.0226047	12.9502
0.0226978	12.8585
0.0227889	12.7653
0.0228778	12.6705
0.0229648	12.574
0.0230498	12.4756
0.0231329	12.3751
0.0232141	12.2724
0.0232935	12.1674
0.0233711	12.0598
0.023447	11.9494
0.0235211	11.8359
0.0235936	11.719
0.0236644	11.5985
0.0237337	11.4739
0.0238014	11.3448
0.0238676	11.2107
0.0239323	11.0711
0.0239955	10.9253
0.0240573	10.7726
0.0241177	10.6119
0.0241768	10.4421
0.0242345	10.262
0.024291	10.0699
0.0243461	9.86371
0.0244001	9.64083
0.0244528	9.39794
0.0245043	9.13057
0.0245547	8.83233
0.0246039	8.49415
0.024652	8.10369
0.0246991	7.64394
0.024745	7.09036
0.02479	6.40629
0.0248339	5.53475
0.0248769	4.41139
0.0249188	3.03975
0.0249599	1.52985
0.025	0
0.0200695	14.6834
0.0199159	14.7588
0.0197588	14.8334
0.019598	14.9072
)

((xy/key/label "xd-20")
0.025	0
0.0249599	1.51816
0.0249188	3.0173
0.0248769	4.38029
0.0248339	5.49715
0.02479	6.36323
0.024745	7.04224
0.0246991	7.59103
0.024652	8.0461
0.0246039	8.43191
0.0245547	8.76569
0.0245043	9.06002
0.0244528	9.32387
0.0244001	9.56335
0.0243461	9.78281
0.024291	9.9856
0.0242345	10.1743
0.0241768	10.3509
